,Product,Price
120,Sambar & Bangaladonpu Vepudu with Steamed Rice,₹ 89 
121,Palak Pappu & Thondakai Vepudu with Steamed Rice,₹ 89 
122,"Aloo Mutter, Dal Tadka & Parathas",₹ 89 
123,"Garlic Masoor Dal, Mix Veg Poriyal with Rice",₹ 89 
124,Ghar Ki Chicken Curry (with bone) with Rice,₹ 89 
125,Mangalorean Chicken (with bone) with Rice,₹ 89 
126,Kuboos with Parsi Chicken Keema,₹ 89 
127,Palak Pappu & Bangaladonpu Vepudu with Steamed Rice,₹ 94 
128,Tomato Pappu & Bangaladonpu Vepudu with Steamed Rice,₹ 94 
129,Ghar Ki Chicken Curry (with bone) with Paratha,₹ 94 
130,Mangalorean Chicken (with bone) with Paratha,₹ 94 
131,Paneer Masala with Rice,₹ 94 
132,Dhaba Style Chicken Curry (with bone) with Parathas,₹ 94 
133,Dhaba Style Chicken Curry (with bone) with Rice,₹ 94 
134,"Yellow Dal Tadka, Aloo Gobhi Adraki, Paratha Thali",₹ 94 
135,"Yellow Dal Tadka, Soya Masala Sabzi, Paratha Thali",₹ 94 
136,Tomato Pappu & Thondakai Vepudu with Steamed Rice,₹ 97 
137,Kuboos with Butter Chicken,₹ 99 
138,Kotthimiri Kodi Koora & Tomato Pappu with Steamed Rice,₹ 99 
139,Chicken Pulusu & Palak Pappu with Steamed Rice,₹ 99 
140,Special Aloo Mutter with Parathas,₹ 99 
141,Rajma Chawal & Marwadi Aloo,₹ 99 
142,Paneer Masala with Parathas,₹ 99 
143,Special Paneer Masala with Parathas,₹ 104 
144,"Palak Paneer, Dal Tadka & Parathas",₹ 104 
145,"Palak Paneer, Dal Tadka & Rice",₹ 104 
146,"Chana Masala, Aloo Gobhi Adraki, Roti Thali",₹ 104 
147,"Ghar ke Rajma, Aloo Gobhi, Roti Thali",₹ 104 
148,"Dhaba Style Chicken Curry (with bone), Rajma with Parathas",₹ 110 
149,"Dhaba Style Chicken Curry (with bone), Rajma with Rice",₹ 110 
150,Special Ghar Ki Chicken Curry (with bone) with Rice,₹ 110 
151,"Kadhai Paneer, Soya Masala Sabzi, Roti Thali",₹ 110 
152,Palak Pappu & Chicken Neyyi Roast with Steamed Rice,₹ 113 
153,Special Ghar Ki Chicken Curry (with bone) with Paratha,₹ 115 
154,"Lasooni Methi Paneer, Aloo Gobhi & Roti Thali",₹ 115 
155,"Kadhai Paneer, Soya Masala Sabzi, Paratha Thali",₹ 115 
156,"Dal Makhani, Butter Paneer, Paratha Thali",₹ 120 
157,"Sarson ka Saag, 3 Paratha Meal",₹ 120 
158,Special Dhaba Style Chicken Curry (with bone) with Parathas,₹ 120 
159,Special Dhaba Style Chicken Curry (with bone) with Rice,₹ 120 
160,"Paneer Masala, Rajma & Parathas",₹ 120 
161,"Paneer Masala, Rajma & Rice",₹ 120 
162,Paneer Butter Masala with Parathas,₹ 120 
163,"Lasooni Methi Chicken, Yellow Dal Tadka, Paratha Thali",₹ 131 
164,Butter Chicken with Parathas,₹ 136 
165,"Kadhai Chicken, Soya Masala Sabzi, Roti Thali",₹ 136 
166,"Kadhai Chicken, Soya Masala Sabzi, Paratha Thali",₹ 141 
167,Fit Thali Butter Chicken Paratha Meal,₹ 146 
168,"Yellow Dal Tadka, Soya Masala Sabzi & Jeera Pulao",₹ 142 
169,"Chana Masala, Aloo Gobhi Adraki & Jeera Pulao",₹ 150 
170,"Dal Makhani, Aloo Gobhi & Jeera Pulao",₹ 159 
171,"Ghar ke Rajma, Aloo Gobhi & Jeera Pulao",₹ 159 
172,"Kadhai Paneer, Soya Masala Sabzi & Jeera Pulao",₹ 167 
173,"Matar Paneer, Aloo Gobhi Adraki & Jeera Pulao",₹ 176 
174,"Lasooni Methi Paneer, Soya Masala Sabzi & Jeera Pulao",₹ 176 
175,"Butter Paneer, Aloo Gobhi & Jeera Pulao",₹ 184 
176,"Lasooni Methi Chicken, Soya Masala Sabzi & Jeera Pulao",₹ 192 
177,"Butter Chicken, Aloo Gobhi & Jeera Pulao",₹ 200 
178,"Kadhai Chicken, Soya Masala Sabzi & Jeera Pulao",₹ 209 
179,Shahi Murgh Biryani,₹ 162 
180,Chicken Shami Kebab,₹ 99 
181,Chicken Haleem,₹ 109 
182,Chicken Seekh Kebab,₹ 124 
183,"Muradabadi Biryani [Mild, Yakhni Style] Bachelor",₹ 130 
184,Spicy Chicken Tikka,₹ 134 
185,Shahi Subz Biryani,₹ 141 
186,Special Masala Chicken Biryani (Single),₹ 157 
187,"Muradabadi Biryani [Mild, Yakhni Style] Single",₹ 162 
188,Lucknowi Boneless Chicken Biryani (Single),₹ 172 
189,Boneless Chicken Biryani,₹ 173 
190,Whole Wheat Rotis (3pcs),₹ 32 
191,Whole Wheat Parathas (3pcs),₹ 49 
192,Coin Parotta ( 2 pcs ),₹ 58 
193,Whole Wheat Kulcha (2pcs),₹ 75 
194,Rice (500g),₹ 80 
195,Jeera Pulao (Serves 1-2),₹ 100 
196,Homestyle Dal Tadka (500g),₹ 108 
197,Rajma (500g),₹ 121 
198,Ghar Ki Dal (Serves 1-2),₹ 133 
199,Aloo Gobhi Adraki (Serves 1-2),₹ 133 
200,Soya Masala Sabzi (Serves 1-2),₹ 133 
201,Black Chana (Usal) (500g),₹ 150 
202,Ghar Ka Rajma (Serves 1-2),₹ 159 
203,Dal Makhani (Serves 1-2),₹ 167 
204,Chole (Serves 1-2),₹ 167 
205,Garlic Masoor Dal (500g),₹ 167 
206,Kadhai Paneer (Serves 1-2),₹ 176 
207,Lasooni Methi Paneer (Serves 1-2),₹ 209 
208,Signature Palak Paneer (480g),₹ 209 
209,Ghar Ki Chicken Curry (with bone) (540g),₹ 209 
210,Matar Paneer (Serves 1-2),₹ 217 
211,Lasooni Methi Chicken (Serves 1-2),₹ 226 
212,Paneer Masala (480g),₹ 226 
213,Parsi Chicken Keema,₹ 231 
214,Butter Paneer (Serves 1-2),₹ 234 
215,Dhaba Style Chicken Curry (with bone) (540g),₹ 234 
216,Butter Chicken (Serves 1-2),₹ 251 
217,Kadhai Chicken (Serves 1-2),₹ 251 
218,Sarson ka Saag (Serves 1-2),₹ 251 
219,Super Sugarcane,₹ 54 
220,Classic Masala Chaas,₹ 55 
221,Tender Coconut Water,₹ 55 
222,Gud Lemon Soda,₹ 62 
223,Apple Juice,₹ 84 
224,Mix Fruit Juice,₹ 84 
225,Mocha Shake,₹ 84 
226,Zero Sugar Cola Fizz,₹ 54 
227,Zero Sugar Lime & Lemon Fizz,₹ 54 
228,Lemonade Soda,₹ 62 
229,Lassi,₹ 71 
230,Original Orange,₹ 108 
231,Pure Pomegranate,₹ 108 
232,Badam Kheer,₹ 65 
233,Elaichi Kesar Kulfi,₹ 112 
234,Roasted Badam Kulfi,₹ 112 
235,Turmeric Besan Halwa (200 gm),₹ 65 
236,Gajar ka Halwa,₹ 150 
237,The Whole Truth: Almond Choco Fudge Energy Bar,₹ 54 
238,The Whole Truth: Mocha Almond Fudge Energy Bar,₹ 54 
239,Banana Walnut Cake,₹ 65 
240,Chocolate Walnut Brownie,₹ 65 
241,Mocha Almond Cake,₹ 74 
242,Rice Kheer,₹ 84 
243,The Whole Truth: Double Cocoa Protein Bar,₹ 90 
244,The Whole Truth: Cranberry Protein Bar,₹ 90 
245,The Whole Truth: Peanut Cocoa Protein Bar,₹ 90 
246,Moong Dal Halwa,₹ 112 
247,Chocolate Dip Kulfi,₹ 125 
248,Mango Ice Cream (Serves 5),₹ 184 
249,Sitaphal Ice Cream (Serves 5),₹ 189 
250,Tender Coconut Ice Cream (Serves 5),₹ 189 
251,Malai Kulfi Ice Cream (Serves 5),₹ 194 
252,Chocolate Chip Ice Cream (Serves 5),₹ 194 
253,Caramel Nuts Ice Cream (Serves 5),₹ 194 
254,Tawa Chicken Keema (Serves 1-2),₹ 243 
255,Gulab Jamun,₹ 65 
